region,anio,periodo,fuerza_trabajo,fuerza_trabajo_potencial,pct_poblacion_edad_trabajar,poblacion_desocupada,poblacion_edad_trabajar,poblacion_fuera_fuerza_trabajo,poblacion_ocupada,poblacion_subocupada,poblacion_total,td,tgp,to,ts
Caribe,2010,I,4137.11414,0.0,68.92919,451.499335,6576.146667,2439.032526,3685.614805,426.360489,9540.438,10.913388,62.910917,56.045204,10.305746
Caribe,2010,II,4264.161758,0.0,69.095303,422.841316,6634.695333,2370.533576,3841.320442,481.039134,9602.237833,9.916165,64.270649,57.897466,11.280978
Caribe,2011,I,4287.357155,0.0,69.262557,450.997954,6693.212,2405.854845,3836.359201,463.504755,9663.535833,10.519253,64.055302,57.317163,10.810967
Caribe,2011,II,4390.948178,0.0,69.430723,383.904334,6751.2055,2360.257322,4007.043844,478.440131,9723.657167,8.743085,65.039469,59.353012,10.896055
Caribe,2012,I,4580.303427,0.0,69.602883,437.745923,6809.6485,2229.345073,4142.557505,553.884706,9783.5725,9.557138,67.261966,60.833647,12.092751
Caribe,2012,II,4519.903895,0.0,69.778173,379.753673,6868.214,2348.310105,4140.150222,446.152463,9842.926167,8.401809,65.809014,60.279866,9.87084
Caribe,2013,I,4484.536079,0.0,69.957617,391.758829,6927.398667,2442.862588,4092.77725,417.98663,9902.279333,8.735772,64.736221,59.081012,9.320621
Caribe,2013,II,4603.687543,0.0,70.138739,326.942813,6986.490667,2382.803124,4276.74473,380.960805,9960.9585,7.101759,65.894134,61.214491,8.275123
Caribe,2014,I,4548.845457,0.0,70.32401,342.607041,7046.171333,2497.325876,4206.238416,403.060199,10019.581333,7.531736,64.55769,59.695375,8.860714
Caribe,2014,II,4719.593406,0.0,70.510456,338.301172,7105.465333,2385.871927,4381.292234,415.673089,10077.179667,7.168015,66.422017,61.660877,8.807392
Caribe,2015,I,4742.762764,0.0,70.701172,355.687687,7166.895667,2424.132903,4387.075077,472.560598,10136.883833,7.499588,66.175971,61.213045,9.963825
Caribe,2015,II,4867.108407,0.0,70.891,355.789891,7231.4855,2364.377093,4511.318517,484.131643,10200.851333,7.310088,67.304407,62.384396,9.947008
Caribe,2016,I,4837.298453,0.0,71.082964,429.295878,7301.412333,2464.113881,4408.002575,494.113304,10271.676833,8.874703,66.251545,60.371917,10.214654
Caribe,2016,II,4920.846742,0.0,71.269657,395.119883,7373.853167,2453.006425,4525.726859,487.773019,10346.413167,8.02951,66.733723,61.375332,9.91238
Caribe,2017,I,4966.021889,0.0,71.453412,406.274222,7451.756333,2485.734445,4559.747667,506.970676,10428.832,8.18108,66.642301,61.190241,10.208789
Caribe,2017,II,5079.787343,0.0,71.629681,377.754225,7538.894667,2459.107324,4702.033118,502.432675,10524.8195,7.436418,67.381063,62.370325,9.890821
