region,anio,periodo,fuerza_trabajo,fuerza_trabajo_potencial,pct_poblacion_edad_trabajar,poblacion_desocupada,poblacion_edad_trabajar,poblacion_fuera_fuerza_trabajo,poblacion_ocupada,poblacion_subocupada,poblacion_total,td,tgp,to,ts,sidx,informalidad_laboral_nacional,informalidad_empresarial_nacional,informalidad_micronegocios_nacional,td_dispersion_regional,td_dispersion_regional_obs,informalidad_laboral_regional_real,informalidad_empresarial_nacional_obs,informalidad_laboral_nacional_obs,informalidad_micronegocios_nacional_obs,informalidad_laboral_regional_real_obs,td_lag1,td_lag2,td_roll4,to_lag1,to_lag2,to_roll4,tgp_lag1,tgp_lag2,tgp_roll4,ts_lag1,ts_lag2,ts_roll4,informalidad_laboral_lag1,informalidad_empresarial_lag1,informalidad_micronegocios_lag1,informalidad_laboral_regional_real_lag1,td_dispersion_regional_lag1,td_target,periodo_II,year_trend,region_Caribe,region_Central,region_Oriental,region_Orinoquía/Amazonía/Insular,region_Pacífica
Caribe,2010,I,4137.11414,0.0,68.92919,451.499335,6576.146667,2439.032526,3685.614805,426.360489,9540.438,10.913388,62.910917,56.045204,10.305746,4020,59.80175198632354,86.35000000000001,88.47055828777552,2.042161626584776,1,87.43423241742597,0,0,0,0,,,,,,,,,,,,,,,,,,9.916165,0,0,1,0,0,0,0
Caribe,2010,II,4264.161758,0.0,69.095303,422.841316,6634.695333,2370.533576,3841.320442,481.039134,9602.237833,9.916165,64.270649,57.897466,11.280978,4021,59.80175198632354,86.35000000000001,88.47055828777552,2.042161626584776,1,87.43423241742597,0,0,0,0,10.913388,,,56.045204,,,62.910917,,,10.305746,,,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,2.042161626584776,10.519253,1,0,1,0,0,0,0
Caribe,2011,I,4287.357155,0.0,69.262557,450.997954,6693.212,2405.854845,3836.359201,463.504755,9663.535833,10.519253,64.055302,57.317163,10.810967,4022,59.80175198632354,86.35000000000001,88.47055828777552,1.7561295163962187,1,87.43423241742597,0,0,0,0,9.916165,10.913388,10.414776499999999,57.897466,56.045204,56.971334999999996,64.270649,62.910917,63.590783,11.280978,10.305746,10.793361999999998,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,2.042161626584776,8.743085,0,1,1,0,0,0,0
Caribe,2011,II,4390.948178,0.0,69.430723,383.904334,6751.2055,2360.257322,4007.043844,478.440131,9723.657167,8.743085,65.039469,59.353012,10.896055,4023,59.80175198632354,86.35000000000001,88.47055828777552,1.7561295163962187,1,87.43423241742597,0,0,0,0,10.519253,9.916165,10.449602,57.317163,57.897466,57.086611000000005,64.055302,64.270649,63.74562266666667,10.810967,11.280978,10.799230333333332,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.7561295163962187,9.557138,1,1,1,0,0,0,0
Caribe,2012,I,4580.303427,0.0,69.602883,437.745923,6809.6485,2229.345073,4142.557505,553.884706,9783.5725,9.557138,67.261966,60.833647,12.092751,4024,59.80175198632354,86.35000000000001,88.47055828777552,1.4538071370159245,1,87.43423241742597,0,0,0,0,8.743085,10.519253,10.022972750000001,59.353012,57.317163,57.65321125,65.039469,64.055302,64.06908425,10.896055,10.810967,10.8234365,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.7561295163962187,8.401809,0,2,1,0,0,0,0
Caribe,2012,II,4519.903895,0.0,69.778173,379.753673,6868.214,2348.310105,4140.150222,446.152463,9842.926167,8.401809,65.809014,60.279866,9.87084,4025,59.80175198632354,86.35000000000001,88.47055828777552,1.4538071370159245,1,87.43423241742597,0,0,0,0,9.557138,8.743085,9.68391025,60.833647,59.353012,58.850322,67.261966,65.039469,65.1568465,12.092751,10.896055,11.27018775,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.4538071370159245,8.735772,1,2,1,0,0,0,0
Caribe,2013,I,4484.536079,0.0,69.957617,391.758829,6927.398667,2442.862588,4092.77725,417.98663,9902.279333,8.735772,64.736221,59.081012,9.320621,4026,59.80175198632354,86.35000000000001,88.47055828777552,0.9403461272525566,1,87.43423241742597,0,0,0,0,8.401809,9.557138,9.30532125,60.279866,60.833647,59.445922,65.809014,67.261966,65.54143775,9.87084,12.092751,10.91765325,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.4538071370159245,7.101759,0,3,1,0,0,0,0
Caribe,2013,II,4603.687543,0.0,70.138739,326.942813,6986.490667,2382.803124,4276.74473,380.960805,9960.9585,7.101759,65.894134,61.214491,8.275123,4027,59.80175198632354,86.35000000000001,88.47055828777552,0.9403461272525566,1,87.43423241742597,0,0,0,0,8.735772,8.401809,8.859451,59.081012,60.279866,59.886884249999994,64.736221,65.809014,65.7116675,9.320621,9.87084,10.545066749999998,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,0.9403461272525566,7.531736,1,3,1,0,0,0,0
Caribe,2014,I,4548.845457,0.0,70.32401,342.607041,7046.171333,2497.325876,4206.238416,403.060199,10019.581333,7.531736,64.55769,59.695375,8.860714,4028,59.80175198632354,86.35000000000001,88.47055828777552,1.4094730900946533,1,87.43423241742597,0,0,0,0,7.101759,8.735772,8.4491195,61.214491,59.081012,60.352254,65.894134,64.736221,65.92533375000001,8.275123,9.320621,9.88983375,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,0.9403461272525566,7.168015,0,4,1,0,0,0,0
Caribe,2014,II,4719.593406,0.0,70.510456,338.301172,7105.465333,2385.871927,4381.292234,415.673089,10077.179667,7.168015,66.422017,61.660877,8.807392,4029,59.80175198632354,86.35000000000001,88.47055828777552,1.4094730900946533,1,87.43423241742597,0,0,0,0,7.531736,7.101759,7.942769,59.695375,61.214491,60.067685999999995,64.55769,65.894134,65.24926475,8.860714,8.275123,9.0818245,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.4094730900946533,7.499588,1,4,1,0,0,0,0
Caribe,2015,I,4742.762764,0.0,70.701172,355.687687,7166.895667,2424.132903,4387.075077,472.560598,10136.883833,7.499588,66.175971,61.213045,9.963825,4030,59.80175198632354,86.35000000000001,88.47055828777552,1.147389314862017,1,87.43423241742597,0,0,0,0,7.168015,7.531736,7.634320499999999,61.660877,59.695375,60.412938749999995,66.422017,64.55769,65.40251549999999,8.807392,8.860714,8.8159625,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.4094730900946533,7.310088,0,5,1,0,0,0,0
Caribe,2015,II,4867.108407,0.0,70.891,355.789891,7231.4855,2364.377093,4511.318517,484.131643,10200.851333,7.310088,67.304407,62.384396,9.947008,4031,59.80175198632354,86.35000000000001,88.47055828777552,1.147389314862017,1,87.43423241742597,0,0,0,0,7.499588,7.168015,7.325274500000001,61.213045,61.660877,60.945947000000004,66.175971,66.422017,65.762453,9.963825,8.807392,8.9767635,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.147389314862017,8.874703,1,5,1,0,0,0,0
Caribe,2016,I,4837.298453,0.0,71.082964,429.295878,7301.412333,2464.113881,4408.002575,494.113304,10271.676833,8.874703,66.251545,60.371917,10.214654,4032,59.80175198632354,86.35000000000001,88.47055828777552,1.666778900807937,1,87.43423241742597,0,0,0,0,7.310088,7.499588,7.377356750000001,62.384396,61.213045,61.23842325,67.304407,66.175971,66.11502125,9.947008,9.963825,9.394734750000001,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.147389314862017,8.02951,0,6,1,0,0,0,0
Caribe,2016,II,4920.846742,0.0,71.269657,395.119883,7373.853167,2453.006425,4525.726859,487.773019,10346.413167,8.02951,66.733723,61.375332,9.91238,4033,59.80175198632354,86.35000000000001,88.47055828777552,1.666778900807937,1,87.43423241742597,0,0,0,0,8.874703,7.310088,7.7130985,60.371917,62.384396,61.40755875,66.251545,67.304407,66.538485,10.214654,9.947008,9.73321975,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.666778900807937,8.18108,1,6,1,0,0,0,0
Caribe,2017,I,4966.021889,0.0,71.453412,406.274222,7451.756333,2485.734445,4559.747667,506.970676,10428.832,8.18108,66.642301,61.190241,10.208789,4034,59.80175198632354,86.35000000000001,88.47055828777552,2.016847939188702,1,87.43423241742597,0,0,0,0,8.02951,8.874703,7.92847225,61.375332,60.371917,61.336172499999996,66.733723,66.251545,66.6164115,9.91238,10.214654,10.00946675,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,1.666778900807937,7.436418,0,7,1,0,0,0,0
Caribe,2017,II,5079.787343,0.0,71.629681,377.754225,7538.894667,2459.107324,4702.033118,502.432675,10524.8195,7.436418,67.381063,62.370325,9.890821,4035,59.80175198632354,86.35000000000001,88.47055828777552,2.016847939188702,1,87.43423241742597,0,0,0,0,8.18108,8.02951,8.09884525,61.190241,61.375332,61.3304715,66.642301,66.733723,66.732994,10.208789,9.91238,10.07070775,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,2.016847939188702,7.172073,1,7,1,0,0,0,0
Caribe,2018,I,5016.317081,0.0,71.800535,359.773947,7644.023,2627.705919,4656.543134,534.168638,10646.192333,7.172073,65.624045,60.91744,10.648622,4036,59.80175198632354,86.35000000000001,88.47055828777552,2.572038389060705,1,87.43423241742597,0,0,0,0,7.436418,8.18108,8.130427749999999,62.370325,61.190241,61.32695375,67.381063,66.642301,66.752158,9.890821,10.208789,10.056661,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,2.016847939188702,7.283075,0,8,1,0,0,0,0
Caribe,2018,II,5247.748919,0.0,71.967278,382.197471,7775.406,2527.657081,4865.551448,560.630577,10804.085167,7.283075,67.491639,62.576172,10.683258,4037,59.80175198632354,86.35000000000001,88.47055828777552,2.572038389060705,1,87.43423241742597,0,0,0,0,7.172073,7.436418,7.70477025,60.91744,62.370325,61.4633345,65.624045,67.381063,66.595283,10.648622,9.890821,10.165153,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,2.572038389060705,8.215912,1,8,1,0,0,0,0
Caribe,2019,I,5283.587801,0.0,72.130355,434.094927,7924.301,2640.713199,4849.492875,626.024778,10986.0835,8.215912,66.675759,61.197737,11.848479,4038,59.80175198632354,86.35000000000001,88.47055828777552,3.193139830118839,1,87.43423241742597,1,0,0,0,7.283075,7.172073,7.518161500000001,62.576172,60.91744,61.7635445,67.491639,65.624045,66.784762,10.683258,10.648622,10.357872500000001,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,2.572038389060705,8.36505,0,9,1,0,0,0,0
Caribe,2019,II,5339.05189,0.0,72.287411,446.614371,8063.825167,2724.773276,4892.437519,629.737796,11155.2275,8.36505,66.209916,60.671424,11.794937,4039,59.80175198632354,86.35000000000001,88.47055828777552,3.193139830118839,1,87.43423241742597,1,0,0,0,8.215912,7.283075,7.5268695,61.197737,62.576172,61.765418499999996,66.675759,67.491639,66.7931265,11.848479,10.683258,10.767795,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,3.193139830118839,11.987131,1,9,1,0,0,0,0
